player_name,action,team,note
Ricky Pearsall,exclude,,"Out for the 2026 season (PCL surgery, reported Aug 2026) - not yet reflected as RES/IR in the roster snapshot"
Deebo Samuel,include,SF,"Signed with 49ers Aug 2026 - too recent to appear in the nflverse roster snapshot at all, was defaulting to excluded"
Stefon Diggs,include,WAS,"Signed with Commanders Aug 5, 2026 - too recent to appear in the nflverse roster snapshot, was defaulting to excluded"
Darren Waller,include,CAR,"Signed with Panthers Aug 13, 2026 - too recent to appear in the nflverse roster snapshot, was defaulting to excluded"
Chris Brazzell II,exclude,,"Out for the 2026 season (season-ending LCL surgery, reported Aug 14, 2026) - was competing for Panthers WR3 role, not yet reflected as IR in the roster snapshot"
Keenan Allen,include,IND,"Signed with Colts Aug 17, 2026 as a starting-caliber WR2/3 amid the slow recovery of Alec Pierce - too recent to appear in the nflverse roster snapshot, was defaulting to excluded"
Najee Harris,include,NYG,"Signed with Giants Aug 17, 2026, joining a crowded backfield with Cam Skattebo and Tyrone Tracy Jr. - too recent to appear in the nflverse roster snapshot, was defaulting to excluded"
Kendrick Law,exclude,,"Out for the 2026 season (torn ACL, reported Aug 2026) - Lions WR, not yet reflected as IR in the roster snapshot"
Princeton Fant,exclude,,"Out for the 2026 season (torn ACL and MCL, reported Aug 2026) - Cowboys TE, not yet reflected as IR in the roster snapshot"
Kenny Yeboah,exclude,,"Out for the 2026 season (hamstring injury, reported Aug 2026) - Cardinals TE, not yet reflected as IR in the roster snapshot"
Dan Chisena,exclude,,"Out for the 2026 season (undisclosed injury, reported Aug 2026) - Panthers WR, not yet reflected as IR in the roster snapshot"
Le Meke Brockington,exclude,,"Out for the 2026 season (undisclosed injury, reported Aug 2026) - Falcons WR, not yet reflected as IR in the roster snapshot"
Corey Rucker,exclude,,"Out for the 2026 season (undisclosed injury, reported Aug 2026) - Raiders WR, not yet reflected as IR in the roster snapshot"
Julian Hill,exclude,,"Out for the 2026 season (undisclosed injury, reported Aug 2026) - Patriots TE, not yet reflected as IR in the roster snapshot"
Justin Shorter,exclude,,"Out for the 2026 season (undisclosed injury, reported Aug 2026) - Raiders WR, not yet reflected as IR in the roster snapshot"
Jayden Higgins,exclude,,"Out for the 2026 season (torn ACL in practice, reported Aug 20, 2026) - Texans WR, was having a strong camp, not yet reflected as IR in the roster snapshot"
Zamir White,exclude,,"Traded from 49ers to Saints Aug 24, 2026, then released in the Saints final roster cuts Aug 30, 2026 and re-signed to their practice squad Aug 31, 2026 - not on an active 53-man roster, cannot play; roster snapshot still shows him as ACT on SF"
Kayshon Boutte,include,HOU,"Traded from Patriots to Texans Aug 24, 2026 for S Jaylen Reed + a 2028 pick, filling the Houston WR3 opening after the season-ending ACL injury to Jayden Higgins - too recent to appear in the nflverse roster snapshot"
Ty Chandler,exclude,,"Out for the 2026 season (knee injury, confirmed by Saints HC Kellen Moore Aug 25, 2026) - was set to share NO backfield behind Kamara, not yet reflected as IR/RES in the roster snapshot"
Calvin Austin III,exclude,,"Out for the 2026 season (torn ACL in practice, reported Aug 25, 2026) - Giants WR signed in free agency this offseason, not yet reflected as IR/RES in the roster snapshot"
Trey Benson,exclude,,"Out for the 2026 season (knee/meniscus, waived with injury designation and reverted to Cardinals IR Aug 24, 2026) - not yet reflected as IR/RES in the roster snapshot"
Jonnu Smith,include,GB,"Signed with Packers Aug 27, 2026 as TE depth behind Tucker Kraft (recovering from ACL surgery) and injured Luke Musgrave (neck) - too recent to appear in the nflverse roster snapshot, was defaulting to excluded"
Kaleb Johnson,include,GB,"Traded from Steelers to Packers Aug 30, 2026 for RB insurance after Josh Jacobs was placed on the Commissioners Exempt List - too recent to appear in the nflverse roster snapshot, which still shows him on PIT"
Josh Jacobs,exclude,,"Placed on the Commissioners Exempt List Aug 30, 2026 (misdemeanor domestic-abuse/property-damage charges from a May 2026 arrest) - cannot practice or play and will miss the start of the 2026 season with no confirmed return date; roster snapshot still shows him as ACT on GB"
Jordyn Tyson,exclude,,"Saints rookie 1st-round WR placed on IR (designated to return) Aug 30, 2026 with a hamstring injury suffered in joint practice - will miss at least the first 4 games, reports suggest ~2 months; not season-ending but out well into the season, so excluded pending return - roster snapshot still shows him as ACT"
Trevor Etienne,exclude,,"Panthers RB placed on IR (designated to return) Aug 31, 2026 with an ankle injury suffered in the preseason finale vs. Houston - will miss at least the first 4 games; not season-ending but out well into the season, so excluded pending return - roster snapshot still shows him as ACT on CAR"
Isiah Pacheco,exclude,,"Lions RB underwent back surgery Sept 14-15, 2026 to remove a loose body pressing on a nerve (in addition to an earlier MCL sprain) - expected to miss approximately 12 weeks with a possible early-December return, far longer than the original 4-game IR estimate; roster snapshot still shows him as ACT on DET"
James Conner,exclude,,"Cardinals RB placed on IR (designated to return) in late Aug 2026 with a foot/ankle injury that also ended his 2025 season in Week 3 - will miss at least the first 4 games, earliest return Week 5 vs. Lions (Oct 11); roster snapshot still shows him as ACT on ARI"
Zach Charbonnet,exclude,,"Seahawks RB placed on Reserve/PUP list Aug 30, 2026, continuing recovery from a torn ACL suffered in the Jan 2026 playoffs - will miss at least the first 4 games, earliest return Week 5 vs. 49ers (Oct 11); roster snapshot still shows him as ACT on SEA"
Jaydon Blue,exclude,,"Cowboys RB waived Aug 30, 2026 in roster cutdown despite being viewed as the presumptive RB2 behind Javonte Williams, went unclaimed on waivers, and signed to the Eagles practice squad Sept 1, 2026 - no longer on any 53-man roster; roster snapshot still shows him as ACT on DAL"
Tank Dell,exclude,,"Texans WR placed on IR (designated to return) Aug 30, 2026, still recovering from the ACL/MCL/LCL/meniscus injury that ended his 2025 season - will miss at least the first 4 games, earliest return Oct 11 vs. Titans; roster snapshot still shows him as ACT on HOU"
Christian Kirk,exclude,,"49ers WR placed on IR (designated to return) to open the 2026 season with a calf injury suffered in training camp - will miss at least the first 4 games; roster snapshot still shows him as ACT on SF"
David Sills,exclude,,"Buccaneers WR placed on IR (designated to return) to open the 2026 season - will miss at least the first 4 games; roster snapshot still shows him as ACT on TB"
Adam Randall,exclude,,"Ravens rookie RB placed on IR (designated to return) to open the 2026 season - will miss at least the first 4 games, earliest return Oct 11 at Falcons; roster snapshot still shows him as ACT on BAL"
Isaac Guerendo,exclude,,"49ers RB placed on Reserve/PUP to open the 2026 season with a pectoral injury suffered in late May - will miss at least the first 4 games, earliest activation Week 5; roster snapshot still shows him as ACT on SF"
Grant Calcaterra,exclude,,"Eagles TE placed on IR (designated to return) Aug 30, 2026 with a back injury that cost him the final two preseason games - will miss at least the first 4 games, sidelined until at least Week 5, with Johnny Mundt as the primary reserve behind Dallas Goedert; roster snapshot still shows him as ACT on PHI"
Savion Williams,exclude,,"Packers WR placed on IR (designated to return) around Sept 1, 2026 with a high-ankle sprain suffered in the preseason - will miss at least the first 4 games, earliest return Week 5; roster snapshot still shows him as ACT on GB"
Emari Demercado,include,DAL,"Waived by the Chiefs Aug 30, 2026 and claimed off waivers by the Cowboys Aug 31, 2026 as RB depth behind Javonte Williams (Jaydon Blue also waived that week) - too recent to appear in the nflverse roster snapshot, which still shows him on KC"
Darius Slayton,include,IND,"Signed with the Colts Sept 21, 2026 after being released by the Giants Sept 7 and remaining unsigned for two weeks - fills the WR opening left by the Alec Pierce heel injury and reunites him with QB Daniel Jones; too recent to appear in the nflverse roster snapshot, which still shows him on NYG"
A.J. Brown,exclude,,"Patriots WR placed on IR Sept 11, 2026 for a high ankle sprain suffered in the Week 1 loss to the Seahawks - out until at least Week 6 (return-eligible vs. Jets), missing games vs. Steelers, Jaguars, and Bills - not yet reflected as IR in the roster snapshot"
Malik Davis,exclude,,"Cowboys RB suffered a serious hip injury in practice Sept 11, 2026 and had surgery - placed on IR without a designated-to-return tag, out for the season; Cowboys promoted Israel Abanikanda from the practice squad to replace him - not yet reflected as IR in the roster snapshot"
Tim Patrick,exclude,,"Jets WR placed on IR Sept 12, 2026 with a groin injury - out at least 4 games; was WR3/4 depth behind Garrett Wilson, Adonai Mitchell, and Omar Cooper Jr. - not yet reflected as IR in the roster snapshot"
Audric Estime,exclude,,"Saints RB placed on IR (designated to return) Sept 12, 2026 with a thigh injury that kept him out of practice since the final preseason game - will miss at least the first 4 games; Saints elevated CJ Donaldson and signed Treyton Welch in response; roster snapshot still shows him as ACT on NO"
Eli Stowers,exclude,,"Eagles rookie TE (2nd-round pick) placed on IR Sept 12, 2026 with quadriceps and hamstring injuries suffered in practice - will miss at least the first 4 games; roster snapshot still shows him as ACT on PHI"
Dylan Sampson,exclude,,"Browns RB placed on IR Sept 15, 2026 with a significant knee sprain suffered in Week 1 vs. the Jaguars - will miss at least 4 games; Browns signed Jaleel McLaughlin from the practice squad in his place and Quinshon Judkins takes over the early-down role; not yet reflected as IR in the roster snapshot"
KeAndre Lambert-Smith,exclude,,"Chargers WR placed on IR Sept 15, 2026 with a hamstring injury suffered in Week 1 vs. the Cardinals - will miss at least 4 games, return-eligible Week 6 vs. Chiefs (Oct 18); not yet reflected as IR in the roster snapshot"
Tyler Goodson,include,DAL,"Signed off the Falcons practice squad to the Cowboys active roster Sept 15, 2026 as RB depth after Malik Davis season-ending hip injury and Israel Abanikanda being waived - joins Javonte Williams and Emari Demercado in the backfield; too recent to appear in the nflverse roster snapshot"
Jordan Mason,exclude,,"Vikings RB placed on IR Sept 16, 2026 with a thumb fracture suffered in the Week 1 win over the Packers, after leading the team in rushing that game - will miss at least 4 games (Bears, Buccaneers, Dolphins, Saints), earliest return Week 7 vs. Colts after Minnesota bye; not yet reflected as IR in the roster snapshot"
DeeJay Dallas,include,MIN,"Signed from the Vikings practice squad to the active roster Sept 16, 2026 as RB depth behind Aaron Jones after Jordan Mason was placed on IR with a thumb fracture - too recent to appear in the nflverse roster snapshot"
Jaleel McLaughlin,include,CLE,"Signed from the Browns practice squad to the active roster Sept 15, 2026 as the primary backup to Quinshon Judkins after Dylan Sampson was placed on IR with a knee injury - too recent to appear in the nflverse roster snapshot, which still shows him on DEN"
Omar Cooper Jr,exclude,,"Jets rookie WR (2026 5th-round pick) placed on IR Sept 19, 2026 with a sprained ankle suffered on his first offensive snap in Week 1 vs. the Titans - will miss at least 4 games; was already trailing Garrett Wilson, Adonai Mitchell, and Tim Patrick on the depth chart, and now Sterling Shepard becomes more relevant in that room - not yet reflected as IR in the roster snapshot"
Jake Tonges,exclude,,"49ers TE placed on IR out for the 2026 season after an MCL injury suffered blocking in the Week 1 win over the Rams (Sept 10, 2026), needing season-ending surgery - 49ers signed Jack Stoll to the practice squad as depth behind George Kittle - not yet reflected as IR in the roster snapshot"
DeZhaun Stribling,exclude,,"49ers rookie WR placed on IR Sept 16, 2026 after ankle surgery (deltoid rupture) suffered in Week 1 vs. the Rams - expected to miss roughly 10 weeks, targeting a return around Week 12-13 - not yet reflected as IR in the roster snapshot"
JaKobi Lane,exclude,,"Ravens rookie WR placed on IR after wrist surgery for a fracture suffered on his NFL debut in the Week 1 win over the Colts - will miss at least 4 games (Saints, Cowboys, Titans, Falcons), earliest return Oct 18 at Browns - not yet reflected as IR in the roster snapshot"
Alec Pierce,exclude,,"Colts WR aggravated a previously surgically repaired left heel in Week 2 vs the Chiefs Sept 20, 2026 and is expected to miss at least several weeks, with a possible midseason return - team signed Darius Slayton in response; not yet reflected as IR in the roster snapshot"
David Njoku,exclude,,"Chargers TE (signed with LA in May 2026 after nine seasons in Cleveland) suffered a fibula injury in the Week 2 loss to the Raiders Sept 20, 2026 and will go on IR - will miss at least 4 games, earliest return Week 8 vs the Rams (Nov 1); not yet reflected as IR in the roster snapshot"
Dallas Goedert,exclude,,"Eagles TE1 suffered an MCL sprain in the Week 2 win over the Titans Sept 20, 2026 and is expected to miss multiple weeks - team signed Zach Ertz to the practice squad as depth behind Grant Calcaterra (already on IR) and rookie Eli Stowers (already on IR); not yet officially placed on IR but out for the near term"
